time,latitude,longitude,altitude,apogeu,vel_vertical,q1,q2,q3,q4,accel_int,status,voltage_int,fix
3986,0.0,0.0,6745,13492,0,-0.6879302859306335,0.1674838364124298,0.12805883586406708,-0.6944797039031982,106,0,39,0
4016,0.0,0.0,6745,13492,0,-0.6884864568710327,0.16807770729064941,0.12791256606578827,-0.6938117146492004,106,0,39,0
4045,0.0,0.0,6745,13492,0,-0.6885875463485718,0.1679690182209015,0.12868109345436096,-0.6935955286026001,106,0,39,0
4066,0.0,0.0,6745,13492,0,-0.6885578036308289,0.1676885485649109,0.12937794625759125,-0.6935632824897766,106,0,39,0
4096,0.0,0.0,6745,13492,0,-0.68789142370224,0.16785170137882233,0.1298847645521164,-0.6940901279449463,106,0,39,0
4125,0.0,0.0,6745,13492,0,-0.6874487400054932,0.16803374886512756,0.1302873194217682,-0.694409191608429,107,0,39,0
4162,0.0,0.0,6745,13492,0,-0.6869714856147766,0.16808302700519562,0.1307525485754013,-0.694782018661499,106,0,39,0
4186,0.0,0.0,6745,13492,0,-0.6870113015174866,0.16795292496681213,0.1311396211385727,-0.6947011947631836,107,0,39,0
4216,0.0,0.0,6745,13492,0,-0.6873224973678589,0.16813324391841888,0.13138601183891296,-0.694303035736084,107,0,39,0
4246,0.0,0.0,6746,13492,0,-0.6876313090324402,0.16857260465621948,0.1314876526594162,-0.6938713788986206,106,0,39,0
4275,0.0,0.0,6746,13492,0,-0.6876665353775024,0.1692509949207306,0.1314554065465927,-0.6936774253845215,107,0,39,0
4306,0.0,0.0,6746,13492,0,-0.6873276829719543,0.17008067667484283,0.13132859766483307,-0.6938343048095703,106,0,39,0
4335,0.0,0.0,6746,13492,0,-0.6870136260986328,0.17040179669857025,0.1315755844116211,-0.6940197348594666,106,0,39,0
4366,0.0,0.0,6746,13492,0,-0.6867503523826599,0.17044273018836975,0.13200092315673828,-0.6941894888877869,107,0,39,0
4395,0.0,0.0,6746,13492,0,-0.686528742313385,0.17048950493335724,0.1323024332523346,-0.6943397521972656,106,0,39,0
4426,0.0,0.0,6746,13492,0,-0.6865531802177429,0.17089104652404785,0.13220134377479553,-0.6942360997200012,106,0,39,0
4446,0.0,0.0,6746,13492,0,-0.6868575215339661,0.17134010791778564,0.13204462826251984,-0.6938540935516357,106,0,39,0
4476,0.0,0.0,6746,13492,0,-0.6871446371078491,0.17144232988357544,0.13240648806095123,-0.6934754848480225,106,0,39,0
4505,0.0,0.0,6746,13492,0,-0.6873726844787598,0.1712389439344406,0.1332140564918518,-0.6931450366973877,106,0,39,0
